[2025-07-10 14:12:42,701]:INFO: common  YAML file loaded successfully from config\config.yaml:]
[2025-07-10 14:17:38,458]:INFO: common  YAML file loaded successfully from config\config.yaml:]
[2025-07-10 14:24:35,054]:INFO: common  YAML file loaded successfully from config\config.yaml:]
[2025-07-10 14:30:50,325]:INFO: common  YAML file loaded successfully from config\config.yaml:]
[2025-07-10 14:40:08,767]:INFO: common  YAML file loaded successfully from config\config.yaml:]
[2025-07-10 14:43:37,519]:INFO: common  YAML file loaded successfully from config\config.yaml:]
[2025-07-10 16:09:51,743]:INFO: common  YAML file loaded successfully from M:\job hunt\Harrisburg University Documents\ML Project\Kris_Naik_series_Projects\Kidney_Disease_classi\NephroFlow\config\config.yaml:]
[2025-07-10 16:11:25,367]:INFO: common  YAML file loaded successfully from M:\job hunt\Harrisburg University Documents\ML Project\Kris_Naik_series_Projects\Kidney_Disease_classi\NephroFlow\config\config.yaml:]
[2025-07-10 16:11:25,371]:INFO: common  YAML file loaded successfully from M:\job hunt\Harrisburg University Documents\ML Project\Kris_Naik_series_Projects\Kidney_Disease_classi\NephroFlow\param.yaml:]
[2025-07-10 16:11:25,374]:INFO: common  Created directory: artifacts/:]
[2025-07-10 16:11:25,376]:INFO: common  Created directory: artifacts/data_ingestion:]
[2025-07-10 16:11:25,377]:INFO: 909571938  Unzipping research/Normal&Tumor.zip to artifacts/data_ingestion/unzipped_data:]
[2025-07-10 16:11:38,195]:INFO: 909571938  Extraction completed.:]
[2025-07-10 16:37:25,491]:INFO: main  Data Ingestion stage started:]
[2025-07-10 16:37:25,492]:INFO: common  YAML file loaded successfully from M:\job hunt\Harrisburg University Documents\ML Project\Kris_Naik_series_Projects\Kidney_Disease_classi\NephroFlow\config\config.yaml:]
[2025-07-10 16:37:25,493]:INFO: common  YAML file loaded successfully from M:\job hunt\Harrisburg University Documents\ML Project\Kris_Naik_series_Projects\Kidney_Disease_classi\NephroFlow\param.yaml:]
[2025-07-10 16:37:25,494]:INFO: common  Created directory: artifacts/:]
[2025-07-10 16:37:25,494]:INFO: common  Created directory: artifacts/data_ingestion:]
[2025-07-10 16:37:25,495]:INFO: data_ingestion  Unzipping research/Normal&Tumor.zip to artifacts/data_ingestion/unzipped_data:]
[2025-07-10 16:37:42,942]:INFO: data_ingestion  Extraction completed.:]
[2025-07-10 16:37:42,945]:INFO: main  Data Ingestion stage completed successfully:]
